topic_id,theme,category,n_mentions,topic_mean,corpus_mean,log_ratio,p_raw,p_bh
2,border / enforcement,vermin,11997,8.225089491121549e-05,6.353308803294717e-05,0.2582134248108148,0.000999000999000999,0.000999000999000999
2,border / enforcement,invasion,11997,0.0032958059329492614,0.004080444442260749,-0.21355518360433773,0.000999000999000999,0.000999000999000999
2,border / enforcement,threat,11997,0.0004550078673209883,0.00028684952399190807,0.46135693671401684,0.000999000999000999,0.000999000999000999
3,refugees / asylum,animal,64830,0.0007417027759776617,0.0007872812756559047,-0.05963699538601544,0.000999000999000999,0.000999000999000999
3,refugees / asylum,cargo,64830,0.00037920074732298133,0.0007133542770863304,-0.6319124369155018,0.000999000999000999,0.000999000999000999
3,refugees / asylum,disease,64830,0.0003398084742433693,0.00033585706687719574,0.011696474549642412,0.000999000999000999,0.000999000999000999
3,refugees / asylum,flood_tide,64830,0.0003155846518295257,0.00017349146183053517,0.5982985666504284,0.000999000999000999,0.000999000999000999
3,refugees / asylum,machine,64830,0.00012266931208291328,0.00019523588809176884,-0.4647162918176727,0.000999000999000999,0.000999000999000999
3,refugees / asylum,vermin,64830,6.4134022370077e-05,6.353308803294717e-05,0.009414151601381676,0.000999000999000999,0.000999000999000999
3,refugees / asylum,invasion,64830,0.004942686300260002,0.004080444442260749,0.19170305442699395,0.000999000999000999,0.000999000999000999
3,refugees / asylum,threat,64830,0.0003728027237582787,0.00028684952399190807,0.2620916165851162,0.000999000999000999,0.000999000999000999
4,heritage / contributions,animal,49933,0.0003634882585393819,0.0007872812756559047,-0.7728385901194115,0.000999000999000999,0.000999000999000999
4,heritage / contributions,cargo,49933,9.175564183963604e-05,0.0007133542770863304,-2.0508491933371595,0.000999000999000999,0.000999000999000999
4,heritage / contributions,disease,49933,0.0001001504280586436,0.00033585706687719574,-1.210012329972362,0.000999000999000999,0.000999000999000999
4,heritage / contributions,flood_tide,49933,0.00011774221776410524,0.00017349146183053517,-0.3876307445583734,0.000999000999000999,0.000999000999000999
4,heritage / contributions,machine,49933,9.026302817411252e-05,0.00019523588809176884,-0.7714805607580781,0.000999000999000999,0.000999000999000999
4,heritage / contributions,vermin,49933,2.9563666443803102e-05,6.353308803294717e-05,-0.7650147011410323,0.000999000999000999,0.000999000999000999
4,heritage / contributions,invasion,49933,0.0030323668711379546,0.004080444442260749,-0.2968624541494347,0.000999000999000999,0.000999000999000999
4,heritage / contributions,threat,49933,8.270784320005416e-05,0.00028684952399190807,-1.2436433262987199,0.000999000999000999,0.000999000999000999
5,welfare / services,animal,38741,0.0006810864963611512,0.0007872812756559047,-0.1448962748944142,0.000999000999000999,0.000999000999000999
5,welfare / services,cargo,38741,0.0004782948940837043,0.0007133542770863304,-0.39975070313335326,0.000999000999000999,0.000999000999000999
5,welfare / services,disease,38741,0.0003382961125555668,0.00033585706687719574,0.00723591132574571,0.000999000999000999,0.000999000999000999
5,welfare / services,flood_tide,38741,0.0001152361510183331,0.00017349146183053517,-0.40914487395428123,0.000999000999000999,0.000999000999000999
5,welfare / services,machine,38741,0.00014401857590858345,0.00019523588809176884,-0.30426621756625677,0.000999000999000999,0.000999000999000999
5,welfare / services,vermin,38741,4.479522816370913e-05,6.353308803294717e-05,-0.34945921544413366,0.000999000999000999,0.000999000999000999
5,welfare / services,invasion,38741,0.001378948078678425,0.004080444442260749,-1.0848849672573357,0.000999000999000999,0.000999000999000999
5,welfare / services,threat,38741,0.0002824177139880163,0.00028684952399190807,-0.015570541321400979,0.000999000999000999,0.000999000999000999
6,DACA / Dreamers,animal,25084,0.000993975496746269,0.0007872812756559047,0.23312696800530508,0.000999000999000999,0.000999000999000999
6,DACA / Dreamers,cargo,25084,0.00036938959846422297,0.0007133542770863304,-0.6581262685644876,0.000999000999000999,0.000999000999000999
6,DACA / Dreamers,disease,25084,0.00030181749670043877,0.00033585706687719574,-0.1068631537807857,0.000999000999000999,0.000999000999000999
6,DACA / Dreamers,flood_tide,25084,0.00010960663883430617,0.00017349146183053517,-0.459230437479911,0.000999000999000999,0.000999000999000999
6,DACA / Dreamers,machine,25084,0.00025288279546280533,0.00019523588809176884,0.2587176111727392,0.000999000999000999,0.000999000999000999
6,DACA / Dreamers,vermin,25084,7.847017135198622e-05,6.353308803294717e-05,0.21115772523014625,0.000999000999000999,0.000999000999000999
6,DACA / Dreamers,invasion,25084,0.0038328169357849115,0.004080444442260749,-0.06260588917161197,0.000999000999000999,0.000999000999000999
6,DACA / Dreamers,threat,25084,0.0004120315323811742,0.00028684952399190807,0.3621421086530689,0.000999000999000999,0.000999000999000999
7,incoherent (junk),animal,12930,0.001510948033368299,0.0007872812756559047,0.6519069819387778,0.000999000999000999,0.000999000999000999
7,incoherent (junk),cargo,12930,0.0012675103242886382,0.0007133542770863304,0.5748317008964832,0.000999000999000999,0.000999000999000999
7,incoherent (junk),disease,12930,0.0004978620122354572,0.00033585706687719574,0.39363728053866354,0.000999000999000999,0.000999000999000999
7,incoherent (junk),flood_tide,12930,0.00020872062169252013,0.00017349146183053517,0.1848682316223675,0.000999000999000999,0.000999000999000999
7,incoherent (junk),machine,12930,0.00038361698442283105,0.00019523588809176884,0.6754361058936409,0.000999000999000999,0.000999000999000999
7,incoherent (junk),vermin,12930,0.0001370284461393106,6.353308803294717e-05,0.7686276903129423,0.000999000999000999,0.000999000999000999
7,incoherent (junk),invasion,12930,0.0058036097413886965,0.004080444442260749,0.3522741786830893,0.000999000999000999,0.000999000999000999
7,incoherent (junk),threat,12930,0.0003525574841111276,0.00028684952399190807,0.2062559121853656,0.000999000999000999,0.000999000999000999
8,labor / agriculture,animal,21128,0.0011073306517926324,0.0007872812756559047,0.3411219925923418,0.000999000999000999,0.000999000999000999
8,labor / agriculture,cargo,21128,0.001052907968397747,0.0007133542770863304,0.3893329291118292,0.000999000999000999,0.000999000999000999
8,labor / agriculture,disease,21128,0.0003145397842971019,0.00033585706687719574,-0.06557510476616614,0.000999000999000999,0.000999000999000999
8,labor / agriculture,flood_tide,21128,0.0001390682359638119,0.00017349146183053517,-0.22116366650774122,0.000999000999000999,0.000999000999000999
8,labor / agriculture,machine,21128,0.0005322366808772199,0.00019523588809176884,1.0028797660224862,0.000999000999000999,0.000999000999000999
8,labor / agriculture,vermin,21128,7.51433229017952e-05,6.353308803294717e-05,0.1678364179710354,0.000999000999000999,0.000999000999000999
8,labor / agriculture,invasion,21128,0.0038573828876114096,0.004080444442260749,-0.05621696926162264,0.000999000999000999,0.000999000999000999
8,labor / agriculture,threat,21128,0.00016254533724421326,0.00028684952399190807,-0.568000807665546,0.000999000999000999,0.000999000999000999
9,quotas / national origins,animal,36457,0.0008600523660272073,0.0007872812756559047,0.08840769109302912,0.000999000999000999,0.000999000999000999
9,quotas / national origins,cargo,36457,0.001198089994584405,0.0007133542770863304,0.5185057166567849,0.000999000999000999,0.000999000999000999
9,quotas / national origins,disease,36457,0.0004606757059687371,0.00033585706687719574,0.31600866362118574,0.000999000999000999,0.000999000999000999
9,quotas / national origins,flood_tide,36457,0.0001856218376277828,0.00017349146183053517,0.06758308586191043,0.000999000999000999,0.000999000999000999
9,quotas / national origins,machine,36457,0.00021327576631662297,0.00019523588809176884,0.08837749543745843,0.000999000999000999,0.000999000999000999
9,quotas / national origins,vermin,36457,7.868156240404689e-05,6.353308803294717e-05,0.21384800642291724,0.000999000999000999,0.000999000999000999
9,quotas / national origins,invasion,36457,0.0035903543606008374,0.004080444442260749,-0.1279550090594606,0.000999000999000999,0.000999000999000999
9,quotas / national origins,threat,36457,0.00031863318307726973,0.00028684952399190807,0.10508277287515796,0.000999000999000999,0.000999000999000999
